"Clean Plaintiff","Plaintiff Type","2010","2011","2012","2013","2014"
"Lakeside Manor;","Misc","0","2","1","0","0"
"Ashford at Keystone Crossing; Riverwood Apartments; ","Misc","0","0","0","3","0"
"Waters Edge Properties Llc;","Misc","0","0","0","1","1"
"SPINNAKER COURT APARTMENTS LLC; ","Misc","0","0","0","1","0"
"Aspire Real Estatec/O Cliffredding; ","Misc","0","0","1","0","0"
"Discover Properties LLC mngn BLTREJV3 Indianapolis LLC; ","Misc","0","0","0","0","6"
"Town of West Lebanon;","Government","0","0","0","18","0"
"Shore Acres Apartments; ","Misc","6","1","0","0","0"
"Hammerhead Properties LLC;","Misc","0","0","0","0","1"
"South Madison Comm Schools;","Government","3","0","0","0","0"
"Glenview Apartments; Meadows At Green Tree;","Misc","0","0","0","0","1"
"Advanced Debt Collection Inc; Kingsley Property Management, Inc; ","Misc","1","6","3","0","0"
"Fox Village/Gardner Apartments;","Misc","1","0","0","0","0"
"A Step Up Property Management; Carter Dba;","Misc","1","0","0","0","0"
"Bluestone-Jeffersonville Orchard Hills Apartments;","Misc","0","0","0","3","9"
"The Flats at Meridian Hills f/k/a Arrowwoods Apartments; ","Misc","0","0","0","0","7"
"Denizen Management as managing agent for the owner of Magnolias Apartment; ","Misc","0","0","0","0","2"
"Avalon Lake Apartments; Pickwick Place Apartments; ","Misc","0","0","8","0","0"
"Apartment Village Limited Lp;","Misc","1","0","0","0","2"
"Zidan Management Group For Marina Apartments; ","Misc","1","0","1","0","0"
"Raubs Lane Apartments;","Misc","1","0","2","0","0"
"Riverwind Properties;","Misc","0","0","0","0","7"
"Courtyard Apartments;","Misc","12","28","23","16","67"
"Harrison Green Property Owners Assn Inc;","Misc","10","3","7","1","6"
"Kline Properties, Inc.; ","Misc","3","0","1","4","10"
"REAL PROPERTIES; VANBENTHUYSEN; ","Misc","0","0","1","0","0"
"Black Hawk Apartments; Haffner Rentals;","Misc","0","0","0","0","1"
"Fridley Properties Llc;","Misc","0","1","4","0","3"
"Rolling Meadows Iii Llc  Dba; Stonecrest Manor;","Misc","1","0","0","0","0"
"Town of Sheridan;","Government","0","0","0","0","6"
"Empirian Property Management As Managing Agent For Stonehenge Apartments; ","Misc","1","0","0","0","0"
"PENN-HERRIS-MADISON SCHOOL COR;","Government","0","0","1","0","0"
"EXECUTIVE PROPERTY MGMT;","Misc","0","1","0","0","1"
"Beech Grove Village; ","Misc","6","9","0","7","0"
"WILD ROSE PROPERTYOWNERS ASSOC;","Misc","0","0","1","0","0"
"Hamilton Heart Incorporated; IMC Credit Services LLC Assignee of Northwest Radiology Network PC; Riverview Medical Group;","Medical","0","0","0","1","0"
"Fogel; L &amp; P Properties LLC;","Misc","0","0","0","0","1"
"ACCESSIBLE MEDICAL SERVICES INC; ","Medical","0","0","0","0","1"
"Elkhart Public Utilities","Utility","0","3","0","280","329"
"Reed Real Estate III LLC;","Misc","0","0","0","0","2"
